2003,"FIAT","PALIO","Palio 1.5 mpi 8V 2p",19825,3711.125,"Álcool",1.5,.11
2003,"FIAT","PALIO","Palio 1.5 mpi 8V 4p",21262,3711.125,"Álcool",1.5,.11
2003,"FIAT","PALIO","Palio EX Century 1.0 mpi Fire 16v 2p",19777,3711.125,"Gasolina",1,.07
2003,"FIAT","PALIO","Palio EX 1.0 mpi Fire 8v 4p",20755,3711.125,"Gasolina",1,.07
2003,"FIAT","PALIO","Palio Young 1.0 mpi 8v 2p",16493,3711.125,"Álcool",1,.07
2003,"FIAT","PALIO","Palio EX 1.3 mpi Fire 8V 67cv 2p",22280,3711.125,"Gasolina",1.3,.13
2003,"FIAT","PALIO","Palio Young 1.0 mpi Fire 8V 4p",16813,3711.125,"Gasolina",1,.07
2003,"FIAT","PALIO","Palio EX 1.3 mpi Fire 8V 67cv 4p",23861,3711.125,"Gasolina",1.3,.13
2003,"FIAT","PALIO","Palio Weekend Adventure 1.8 8V 103cv 4p",36576,3711.125,"Gasolina",1.8,.13
2003,"FIAT","SIENA","Siena 1.0 mpi/ 500 1.0 mpi",19535,3713.5,"Gasolina",1,.07
2003,"FIAT","SIENA","Siena EX 1.3 mpi Fire 8V 67cv 4p",25183,3713.5,"Gasolina",1.3,.13
2003,"FIAT","SIENA","Siena ELX 1.0 mpi Fire 16v 4p (25 anos)",26982,3713.5,"Gasolina",1,.07
2003,"FIAT","SIENA","Siena 1.0/ EX 1.0 mpi Fire/ Fire Flex 8v",22576,3713.5,"Flex",1,.07
2003,"FIAT","SIENA","Siena EX 1.0 mpi Fire 16v 4p",20616,3713.5,"Gasolina",1,.07
2003,"FIAT","SIENA","Siena ELX 1.6 mpi 8V/16V 4p",31827,3713.5,"Gasolina",1.6,.13
2003,"FIAT","SIENA","Siena 1.5 mpi 8V 4p",25654,3713.5,"Álcool",1.5,.11
2003,"FIAT","SIENA","Siena ELX 1.8 mpi 8V 103cv 4p",30666,3713.5,"Gasolina",1.8,.13
2003,"FIAT","SIENA","Siena ELX 1.3 mpi Fire 16V 4p",28725,3713.5,"Gasolina",1.3,.13
2003,"FIAT","SIENA","Siena EX 1.8 mpi 8V 103cv 4p",29184,3713.5,"Gasolina",1.8,.13
2003,"FIAT","STILO","Stilo 2.4 Abarth 20V 167cv 5p",63160,4973.667,"Gasolina",2.4,.13
2003,"FIAT","STILO","Stilo 1.8/ 1.8 SP/ Connect 16V 122cv 5p",43479,4973.667,"Gasolina",1.8,.13
2003,"FIAT","STILO","Stilo 1.8/ 1.8 Connect 8V 103cv 5p",37650,4973.667,"Gasolina",1.8,.13
2003,"FORD","ECOSPORT","EcoSport XL 1.6/ 1.6 Flex 8V 5p",38199,5435.4,"Flex",1.6,.11
2003,"FORD","ECOSPORT","EcoSport XLT 2.0/ 2.0 Flex 16V 5p Mec.",49998,5435.4,"Flex",2,.11
2003,"FORD","ECOSPORT","EcoSport XLS 1.6/ 1.6 Flex 8V 5p",40443,5435.4,"Flex",1.6,.11
2003,"FORD","ECOSPORT","EcoSport XLT 1.6/ 1.6 Flex 8V 5p",43986,5435.4,"Flex",1.6,.11
2003,"FORD","ECOSPORT","EcoSport XL Supercharger 1.0 8V 95cv 5p",35419,5435.4,"Gasolina",1,.07
2003,"FORD","FOCUS","Focus Sedan 2.0 16V/2.0 16V Flex 4p",43571,1412.857,"Flex",2,.11
2003,"FORD","FOCUS","Focus 1.8 16V 5p",36413,1412.857,"Gasolina",1.8,.13
2003,"FORD","FOCUS","Focus Ghia Sed. 2.0 16V/ 2.0 16V Flex 4p",48007,1412.857,"Flex",2,.11
2003,"FORD","FOCUS","Focus Ghia Sed. 2.0 16V/2.0 16V Flex Aut",55425,1412.857,"Flex",2,.11
2003,"FORD","FOCUS","Focus Ghia/ XR 2.0 /Ghia 2.0 16V Flex 5p",45431,1412.857,"Flex",2,.11
2003,"FORD","FOCUS","Focus Ghia  2.0 16V/ 2.0 16V Flex 5p Aut",47664,1412.857,"Flex",2,.11
2003,"FORD","FOCUS","Focus Sedan 1.8 16V 115cv 4p",38899,1412.857,"Gasolina",1.8,.13
2003,"FORD","KA","KA Black 1.0 MPI 8v 65cv",26268,3962.5,"Gasolina",1,.07
2003,"FORD","KA","KA Action 1.6 MPI 8V 95cv",22186,3962.5,"Gasolina",1.6,.13
